Dates,BIMBO,CEMEX,JOSECUERVO,FEMSA,TELEVISA,VOLARIS,MXN/USD,USD/EUR,MXN/EUR,IPC,S&P500 (USD),AMAZON (USD),ORO (USD)
28/02/2022,63.07,10.52,51.36,165.03,43.9,39,20.4692,1.1219,22.9655,53400.61,4373.94,153.563,1908.99
01/03/2022,62.33,10.41,49.85,158.4,42.66,36.46,20.6577,1.1125,22.9812,53168.82,4306.26,151.142,1945.28
02/03/2022,61.9,10.55,50.62,163.26,43.36,35.98,20.6201,1.1119,22.9248,53300.66,4386.54,152.053,1928.72
03/03/2022,59.21,10.57,49.04,160.23,43.19,34.39,20.6392,1.1066,22.8381,53528.01,4363.49,147.898,1935.95
04/03/2022,57.44,10.03,48.09,160.99,42,33.56,20.9499,1.0928,22.8993,53322.05,4328.87,145.641,1970.7
07/03/2022,53.2,9.54,47.38,159.84,39.48,29.54,21.3148,1.0854,23.1375,52312.61,4201.09,137.453,1998.11
08/03/2022,54.21,10.29,46.51,161.54,41.06,31.26,21.3764,1.0899,23.3028,53288.23,4170.7,136.015,2050.76
09/03/2022,56.46,10.47,46.73,162.01,42.47,32.81,20.9086,1.1076,23.1568,53911.75,4277.88,139.279,1991.83
10/03/2022,57.1,9.98,46.52,160.2,41.21,33.04,20.9397,1.0986,23.0033,53387.62,4259.52,146.818,1996.98
11/03/2022,56.65,10.1,46.49,164.88,41.29,31.1,20.9143,1.0912,22.8266,53300.7,4204.31,145.525,1988.46
14/03/2022,55.2,9.96,46.1,164.78,41.01,31.67,20.9132,1.094,22.8806,52807.62,4173.11,141.853,1950.88
15/03/2022,56.27,10.3,45.59,164.79,41.27,33.28,20.8253,1.0956,22.8164,53010.01,4262.45,147.367,1917.94
16/03/2022,58.67,10.6,46.71,164.24,42.47,34.44,20.638,1.1035,22.7723,53411.88,4357.86,153.104,1927.29
17/03/2022,58.72,10.65,46.59,165.66,42.34,33.03,20.524,1.1091,22.7659,54364.51,4411.67,157.239,1942.89
18/03/2022,57.98,10.81,46.46,166.39,44.22,33.28,20.3617,1.1051,22.5014,55467.06,4463.12,161.251,1921.62
21/03/2022,57.98,10.81,46.46,166.39,44.22,33.28,20.3605,1.1016,22.4263,55467.06,4461.18,161.492,1935.91
22/03/2022,59.29,10.76,46.91,166.47,45.55,32.75,20.2803,1.1029,22.3695,55722.48,4511.61,164.889,1921.69
23/03/2022,57.49,10.58,46.37,164.7,45.36,31.71,20.2245,1.1004,22.253,55154.68,4456.24,163.408,1943.86
24/03/2022,57.73,10.69,46.58,163.01,46.61,31.6,20.0906,1.0997,22.0936,55829.86,4520.16,163.65,1957.69
25/03/2022,58.28,10.69,47.32,161.57,46.23,31.12,20.0336,1.0983,22.0038,55436.05,4543.06,164.773,1958.29
28/03/2022,59.22,10.54,48.24,163.13,46.03,32.25,20.12,1.0985,22.095,55685.14,4575.52,168.991,1922.8
29/03/2022,60.6,10.92,48.44,167.52,46.77,33.39,19.9822,1.1086,22.1469,56111.21,4631.6,169.315,1919.43
30/03/2022,60.12,10.61,48.9,165.12,46.44,35.03,19.875,1.1159,22.1791,55814.99,4602.45,166.301,1932.87
31/03/2022,60.06,10.69,48.95,165.36,46.76,36.34,19.8699,1.1067,21.9863,56536.68,4530.41,162.998,1937.44
01/04/2022,62.98,10.56,48.02,164.72,46.58,36.99,19.8541,1.1043,21.9317,56609.54,4545.86,163.56,1925.68
04/04/2022,64.32,10.58,47.2,163.62,45.89,38.08,19.8081,1.0972,21.735,56313.21,4582.64,168.347,1932.73
05/04/2022,62.5,10.2,46.58,161.4,44.47,37.15,20.0016,1.0905,21.8097,55547.29,4525.12,164.055,1923.6
06/04/2022,59.66,9.86,45.71,160.97,44.26,37.17,20.1702,1.0896,21.9778,55438.73,4481.15,158.756,1925.35
07/04/2022,59.5,9.68,45.77,159.01,43.89,36.2,20.1412,1.0879,21.9115,55280.59,4500.21,157.785,1931.86
08/04/2022,59.22,9.21,47.9,158.02,43.79,35.22,20.0463,1.0877,21.8036,54687.25,4488.28,154.461,1947.54
11/04/2022,58.41,9.12,48.12,157.94,44.2,34.82,19.9407,1.0884,21.7019,54463.83,4412.53,151.122,1953.52
12/04/2022,56.65,9.02,46.87,156.41,43.23,34.58,19.803,1.0828,21.4507,53907.25,4397.45,150.788,1966.76
13/04/2022,57.78,9.47,47.87,156.41,43.72,35.3,19.7884,1.0888,21.5401,54172.62,4446.59,155.541,1977.8
14/04/2022,57.78,9.47,47.87,156.41,43.72,35.3,19.97,1.0828,21.6281,54172.62,4392.59,151.707,1973.71
15/04/2022,57.78,9.47,47.87,156.41,43.72,35.3,19.9725,1.081,21.6025,54172.62,4392.59,151.707,1978.24
18/04/2022,57.78,9.21,46.76,157.57,43.68,35.22,19.828,1.0782,21.3812,54139.69,4391.69,152.785,1978.91
19/04/2022,59.61,9.67,47.74,159.1,45.54,37.23,20.0285,1.0788,21.6048,54633.77,4462.21,158.116,1950.09
20/04/2022,57.61,9.83,48.42,156.9,45.47,37.12,20.0021,1.0853,21.7127,53831.04,4459.45,153.998,1957.77
21/04/2022,55.84,9.33,46.62,156.68,43.07,36.61,20.1726,1.0834,21.8701,53267.31,4393.66,148.296,1951.62
22/04/2022,55.99,8.98,47.97,155.03,40.82,35.39,20.2313,1.079,21.8522,53191.78,4271.78,144.35,1931.6
25/04/2022,56.14,8.9,47.75,153.94,40.27,35.28,20.1982,1.0713,21.639,52703.79,4296.12,146.074,1897.83
26/04/2022,56.19,8.58,46.85,152.94,40.44,33.8,20.433,1.0638,21.7345,52512.71,4175.2,139.391,1905.51
27/04/2022,61.49,8.73,47.77,152.79,38.02,34.61,20.4018,1.0557,21.5422,52351.21,4183.96,138.167,1886.1
28/04/2022,62.61,9.25,48.27,154.01,37.65,34.27,20.4457,1.0499,21.4632,52614.17,4287.5,144.597,1894.45
29/04/2022,62.9,8.98,50.87,153.44,37.88,32.73,20.428,1.0545,21.5359,51417.97,4131.93,124.282,1896.93
02/05/2022,67.09,8.99,51.91,151.13,38.04,32.15,20.4697,1.0507,21.5052,51887.47,4155.38,124.5,1863.02
03/05/2022,62.05,9.07,50.48,145.73,38.35,32.4,20.2901,1.0521,21.3448,51066.56,4175.48,124.254,1868.12
04/05/2022,59.29,9.15,51.1,146.32,36.86,32.18,20.0245,1.0622,21.2681,51432.63,4300.17,125.929,1881.22
05/05/2022,60.71,8.71,50.12,143.53,35.11,30.79,20.2403,1.0542,21.3341,50529.95,4146.87,116.407,1877.18
06/05/2022,61.26,8.51,49.76,138.05,33.55,30.06,20.1265,1.0551,21.2454,49541.81,4123.34,114.773,1883.81
09/05/2022,60.33,8.13,48.81,141.15,32.66,27.66,20.3968,1.0561,21.5414,49057.46,3991.24,108.789,1854.17
10/05/2022,60.27,8.21,49.04,141.69,32.83,26.87,20.3912,1.0529,21.4713,49115.86,4001.05,108.859,1838.27
11/05/2022,58.13,8.13,47.71,142.82,32.55,26.51,20.314,1.0513,21.3577,49276.23,3935.18,105.372,1852.4
12/05/2022,59.37,8.18,48.24,147,33.5,26.14,20.2479,1.038,21.0195,49309.32,3930.08,106.931,1821.82
13/05/2022,57.91,8.26,45.51,148.51,34.25,27.22,20.107,1.0412,20.9346,49579.9,4023.89,113.055,1811.79
16/05/2022,58.43,8.7,46.12,153.03,34.6,27.57,20.0256,1.0434,20.8936,50563.98,4008.01,110.811,1824.14
17/05/2022,58.97,8.89,46.34,153.27,35.67,29.49,19.94,1.055,21.0359,51464.03,4088.85,115.369,1815.16
18/05/2022,57.17,8.64,45.76,148.35,34.49,28.79,20.0368,1.0464,20.9762,50394.03,3923.68,107.113,1816.6
19/05/2022,56.46,8.72,45.8,148.61,34.9,28.79,19.9181,1.0588,21.0929,51289.91,3900.79,107.319,1841.85
20/05/2022,57.77,8.81,45.45,147.68,36.36,28.85,19.8626,1.0564,20.9896,51518.3,3901.36,107.591,1846.5
23/05/2022,58.52,8.73,45.35,147.12,37.12,28.48,19.8748,1.0691,21.2537,51376.89,3973.75,107.557,1853.59
24/05/2022,58.1,8.4,45.12,147.21,36.81,27.89,19.8435,1.0736,21.3012,51304.04,3941.48,104.1,1866.45
25/05/2022,59.54,8.59,45.35,147.34,37.05,29.59,19.8294,1.0681,21.1775,51717.07,3978.73,106.775,1853.46
26/05/2022,61.16,8.78,45.58,148.42,38.97,30.27,19.7663,1.0725,21.1928,52143,4057.84,111.078,1850.63
27/05/2022,61.44,9.04,46.08,148.25,38.99,30.3,19.5789,1.0735,21.0229,52463.55,4158.24,115.146,1853.72
30/05/2022,61.09,9.19,45.36,149.79,39.96,30.97,19.5415,1.0779,21.0643,52162.08,4158.24,115.146,1855.23
31/05/2022,64.72,9.26,44.33,147.43,40.28,30.72,19.6571,1.0734,21.1,51752.53,4132.15,120.21,1837.35
01/06/2022,64.66,8.86,45.21,146.04,39.68,28.68,19.697,1.065,20.9786,51506.15,4101.23,121.684,1846.6
02/06/2022,62.48,8.63,45.01,149.17,38.91,28.77,19.525,1.0747,20.9866,50971.38,4176.82,125.511,1868.58
03/06/2022,62.18,8.55,44.76,147.92,37.89,29.25,19.5594,1.0719,20.9698,50689.05,4108.54,122.35,1851.19
06/06/2022,63.44,8.62,44.46,144.57,36.74,29.96,19.5536,1.0696,20.9148,50070.71,4121.43,124.79,1841.43
07/06/2022,63.57,8.61,44.08,143.76,37.33,29.16,19.5883,1.0703,20.9646,50139.2,4160.68,123,1852.37
08/06/2022,63.22,8.4,44.68,143.18,37.09,29.13,19.576,1.0716,20.9791,49819.3,4115.77,121.18,1853.36
09/06/2022,64.52,8.16,44.86,143.59,36.17,28.23,19.6733,1.0617,20.8849,49290.22,4017.82,116.15,1847.95
10/06/2022,61.4,7.83,43.48,141.44,35.05,25.78,19.961,1.0519,20.9989,48471.52,3900.86,109.65,1871.6
13/06/2022,62.29,7.56,43.63,143.72,34.29,24.76,20.4567,1.0409,21.2919,48445.3,3749.63,103.67,1819.26
14/06/2022,60.72,7.49,44.46,141.7,33.15,24.2,20.5872,1.0416,21.4451,48164.47,3735.48,102.31,1808.49
15/06/2022,62.6,7.19,44.81,141.98,33.45,23.06,20.2567,1.0444,21.1542,48344.97,3789.99,107.67,1833.82
16/06/2022,62.63,6.82,43.94,139.98,32.99,19.16,20.4085,1.0549,21.5307,47558.51,3666.77,103.66,1857.33
17/06/2022,62.51,6.95,45.29,139.97,34.5,21.6,20.3423,1.0499,21.3624,48016.23,3674.84,106.22,1839.39
20/06/2022,64.11,7.18,44.32,137.23,34.34,21.6,20.2645,1.0511,21.3039,47780.72,3674.84,106.22,1838.74
21/06/2022,61.7,7.35,43.29,138.91,34.38,21.79,20.1235,1.0533,21.1886,48104.38,3764.79,108.68,1832.98
22/06/2022,63.49,7.28,43.43,136.16,34.01,22.01,20.0491,1.0566,21.185,47144.36,3759.89,108.95,1837.72
23/06/2022,63.48,7.49,43.22,134.93,33.5,21.93,20.0159,1.0523,21.0655,46657.88,3795.73,112.44,1822.77
24/06/2022,63.81,7.83,43.45,135.84,34.75,22.7,19.8685,1.0553,20.9679,47741.5,3911.74,116.46,1826.88
27/06/2022,65.96,7.87,44.28,138.13,34.63,23.01,19.9225,1.0584,21.0892,48294.83,3900.11,113.22,1822.85
28/06/2022,66,7.87,43.14,136.18,35.12,22.5,20.1293,1.0519,21.1802,48435.45,3821.55,107.4,1820.01
29/06/2022,65.85,7.85,43.95,135.67,34.92,21.71,20.1293,1.0442,21.0186,48061.61,3818.83,108.92,1817.73
30/06/2022,65.37,7.83,43.5,135.76,33.01,20.7,20.1183,1.0484,21.0907,47524.45,3785.38,106.21,1807.27
01/07/2022,65.81,7.81,42.93,138.83,33.38,20.51,20.2629,1.0414,21.1055,47743.15,3825.33,109.56,1811.43
04/07/2022,69.57,7.75,43.31,142.11,33.14,20.64,20.277,1.0422,21.1248,48036.38,3825.33,109.56,1808.15
05/07/2022,67.18,8.01,43.16,132.15,33.3,20.19,20.5319,1.0266,21.0843,47503.22,3831.39,113.5,1764.76
06/07/2022,69.91,8.04,43.69,127.05,33.45,20.08,20.657,1.0182,21.0335,47722.29,3845.08,114.33,1738.86
07/07/2022,69.68,8.03,43.82,123.65,32.9,19.32,20.5155,1.016,20.8441,47374.38,3902.62,116.33,1740.16
08/07/2022,70.6,8.07,44.26,123.86,32.85,19.42,20.4515,1.0185,20.8247,47582.11,3899.38,115.54,1742.48
11/07/2022,70.76,7.85,43.67,123.99,32.27,18.76,20.7399,1.004,20.8242,47369.89,3854.43,111.75,1733.96
12/07/2022,68.56,8.08,43.56,124.92,32.56,19.08,20.8556,1.0037,20.9338,47651.52,3818.8,109.22,1726
13/07/2022,69.05,8.08,44.21,124.9,32.41,19.51,20.7305,1.0059,20.8515,47461.35,3801.78,110.4,1735.51
14/07/2022,70.11,7.92,44.66,124.22,32.5,19.39,20.802,1.0018,20.8421,46741.31,3790.38,110.63,1709.94
15/07/2022,72.6,8.04,46.05,124.77,32.62,19.08,20.5362,1.008,20.6955,47075.87,3863.16,113.55,1708.17
18/07/2022,71.5,7.95,45.91,122.01,32.73,19.01,20.4654,1.0143,20.7599,46923.2,3830.85,113.76,1709.22
19/07/2022,72.07,8.16,45.91,123.95,32.93,19.71,20.5196,1.0227,20.9915,47259.23,3936.69,118.21,1711.67
20/07/2022,72.41,8.11,45.42,122.89,33.06,21.31,20.5581,1.018,20.9254,47132.49,3959.9,122.77,1696.58
21/07/2022,73,8.25,45.85,122.27,32.91,21.47,20.6308,1.023,21.1043,47416.37,3998.95,124.63,1718.81
22/07/2022,74.44,8.22,45.35,121.6,32.54,18.67,20.5291,1.0213,20.978,47264.86,3961.63,122.42,1727.64
25/07/2022,74.24,8.31,46.03,121.09,32.24,19.26,20.4679,1.022,20.9171,47202.64,3966.84,121.14,1719.78
26/07/2022,74.07,8,46.41,122.39,30.76,19.22,20.4588,1.0117,20.6983,46674.3,3921.05,114.81,1717.32
27/07/2022,73.07,8.03,47.13,124.25,31.19,19.96,20.407,1.02,20.8347,46842.92,4023.61,120.97,1734.19
28/07/2022,75.08,8.13,47.35,126.82,32.27,20.02,20.2823,1.0197,20.6814,48112.27,4072.43,122.28,1755.84
29/07/2022,72.04,8.23,46.14,127.03,32.14,19.97,20.3672,1.022,20.8167,48144.33,4130.29,134.95,1765.94
01/08/2022,71.15,8.38,46.16,124.68,31.72,19.26,20.365,1.0262,20.8933,47384.56,4118.63,135.39,1772.17
02/08/2022,72.29,8.54,45.21,124.05,30.96,19,20.818,1.0166,21.1644,46902.69,4091.19,134.16,1760.39
03/08/2022,71.58,8.89,44.44,122.1,30.64,18.96,20.4665,1.0166,20.8035,46989.61,4155.17,139.52,1765.29
04/08/2022,70.85,8.78,44.76,123.35,30.58,19.26,20.3465,1.0246,20.8451,46916.17,4151.94,142.57,1791.28
05/08/2022,70.16,8.86,45.26,122.92,29.92,20.32,20.404,1.0183,20.7856,46723.43,4145.19,140.8,1775.5
08/08/2022,73.13,9.01,45.1,122.92,30.26,21.43,20.2515,1.0197,20.649,47354.86,4140.06,139.41,1788.96
09/08/2022,75.54,8.75,43.92,122.63,29.74,20.76,20.2336,1.0213,20.6655,47241.81,4122.47,137.83,1794.29
10/08/2022,76.31,8.99,45.02,124.12,30.02,20.81,20.0289,1.0299,20.631,47808.21,4210.24,142.69,1792.38
11/08/2022,76.32,9.03,44.55,127.78,29.37,21.29,19.9449,1.032,20.5834,48460.55,4207.27,140.64,1789.72
12/08/2022,76.69,9.21,44.28,130.93,29.61,21.59,19.8487,1.0259,20.3643,48853.37,4280.15,143.55,1802.4
15/08/2022,75.24,9.05,44.68,129.56,29.61,22.64,19.8325,1.016,20.1512,48638.36,4297.14,143.18,1779.71
16/08/2022,74.77,9.1,44.19,131.55,29.66,22.6,19.9097,1.0171,20.2508,48801.68,4305.2,144.78,1775.69
17/08/2022,73.94,9,44.03,131.71,28.39,22,19.9825,1.018,20.3433,48734.04,4274.04,142.1,1761.77
18/08/2022,73.56,8.88,43.82,133.94,29.03,22.08,20.1189,1.0087,20.3019,48729.8,4283.74,142.3,1758.61
19/08/2022,73.56,8.66,43.98,132.23,28.41,20.82,20.1736,1.0037,20.2481,48463.26,4228.48,138.23,1747.06
22/08/2022,74.52,8.37,44.08,132.97,27.31,19.96,20.1415,0.9943,20.0247,48016.61,4137.99,133.22,1736.3
23/08/2022,73.65,8.38,43.66,131.74,27.3,19.91,19.9796,0.997,19.9188,47974.04,4128.73,133.62,1748.15
24/08/2022,73.5,8.23,44.55,130.39,27.26,20.26,19.8953,0.9967,19.8308,47449.73,4140.77,133.8,1751.19
25/08/2022,73.61,8.37,44.25,130.83,27.65,20.31,19.9282,0.9975,19.8809,47724.23,4199.12,137.28,1758.71
26/08/2022,73.23,8.09,43.44,129.47,27.44,19.31,20.0405,0.9966,19.9812,47272.11,4057.66,130.75,1738.14
29/08/2022,71.13,7.82,41.77,128.81,26.64,18.68,20.022,0.9997,20.0197,46322.11,4030.61,129.79,1737.09
30/08/2022,69.47,7.71,41.88,129.4,26.13,18.65,20.1536,1.0015,20.1816,45922.05,3986.16,128.73,1724.02
31/08/2022,66.22,7.47,41.2,126.27,25.39,17.98,20.1382,1.0054,20.2475,44919.22,3955,126.77,1711.04
01/09/2022,70.27,7.66,41.04,129.7,25.05,17,20.1972,0.9946,20.086,45383.85,3966.85,127.82,1697.52
02/09/2022,71.97,7.8,41.33,129.71,25.34,17.35,19.9457,0.9954,19.8543,45888.63,3924.26,127.51,1712.19
05/09/2022,70.48,7.71,41.35,130.25,25.45,17.37,19.9839,0.9929,19.8415,46026.08,3924.26,127.51,1710.4
06/09/2022,70.88,7.63,41.04,129.04,25,17.13,20.1392,0.9904,19.9501,45902.89,3908.19,126.11,1702.14
07/09/2022,71.94,7.73,40.59,131.82,25.17,17.55,19.9808,1.0006,19.9905,46056.97,3979.87,129.48,1718.37
08/09/2022,72.12,7.67,40.76,132.17,24.78,17.66,19.9656,0.9997,19.9623,46283.34,4006.18,129.82,1708.46
09/09/2022,73.03,7.88,40.91,131.71,25.49,18.37,19.8975,1.0042,19.9824,47042.94,4067.36,133.27,1716.83
12/09/2022,73.7,8,41.33,135.57,26.3,19.3,19.8364,1.0122,20.0818,47860.48,4110.41,136.45,1724.54
13/09/2022,73.03,7.72,40.41,132.9,25.55,17.95,20.0775,0.997,20.0185,47039.75,3932.69,126.82,1702.17
14/09/2022,72.65,7.56,39.98,133.74,24.76,18.06,19.9496,0.9981,19.9167,46745.14,3946.01,128.55,1697.32
15/09/2022,73.45,7.26,39.18,131.89,24.74,18.1,20.0711,1.0001,20.0755,46769.78,3901.35,126.28,1665.11
16/09/2022,73.45,7.26,39.18,131.89,24.74,18.1,20.0368,1.0016,20.067,46769.78,3873.33,123.53,1675.06
19/09/2022,72.92,7.36,40.51,129.01,24.39,17.75,19.9193,1.0024,19.9689,46793.59,3899.89,124.66,1675.84
20/09/2022,72.97,7.13,40.2,127.88,24.34,17.66,19.9994,0.9971,19.9449,47068.53,3855.93,122.19,1664.89
21/09/2022,73.59,7.19,39.66,126.88,23.48,17.48,20.0204,0.9837,19.6948,46992.51,3789.93,118.54,1673.89
22/09/2022,75.18,7.05,38.79,126.71,23.21,16.71,19.9463,0.9836,19.6218,46324.92,3757.99,117.31,1671.22
23/09/2022,72.39,6.97,38.07,124.16,22.94,15.84,20.208,0.9687,19.5651,45395.95,3693.23,113.78,1643.94
26/09/2022,71.56,6.78,36.46,122.24,22.04,14.61,20.3684,0.9609,19.5717,44808.56,3655.04,115.15,1622.36
27/09/2022,73.26,6.74,36.12,123.99,22.32,14.69,20.3836,0.9594,19.5524,45006.11,3647.29,114.41,1628.9
28/09/2022,73.1,6.85,36.53,125.37,22.94,15.47,20.1254,0.9735,19.5928,45442.21,3719.04,118.01,1659.97
29/09/2022,72.81,6.87,35.62,123.67,22.49,14.86,20.167,0.9815,19.7949,45102.55,3640.47,114.8,1660.54
30/09/2022,70.97,6.94,35.67,126.22,21.8,14.23,20.1382,0.9802,19.7443,44626.8,3585.62,113,1660.61
03/10/2022,71.62,7,35.49,128.08,21.83,14.88,20.0285,0.9826,19.6798,45429.75,3678.43,115.88,1699.89
04/10/2022,71.44,7.46,35.85,130.38,22.69,16.21,19.9673,0.9986,19.9402,46046.58,3790.93,121.09,1726.13
05/10/2022,71.81,7.3,37.02,128.09,22.38,16.34,20.0686,0.9884,19.8334,45845.83,3783.28,120.95,1716.26
06/10/2022,71.24,7.31,36.61,131.06,21.71,16.46,20.123,0.9791,19.7036,46326.68,3744.52,120.3,1712.53
07/10/2022,72.47,7.12,36.66,127.8,21.16,15.75,20.0405,0.9744,19.5253,45728.88,3639.66,114.56,1694.82
10/10/2022,70.57,6.91,35.71,125.33,21.27,15.66,19.9681,0.9702,19.37,45457.12,3612.39,113.67,1668.61
11/10/2022,71.98,6.82,36.88,126.67,21.22,15.1,20.0822,0.9708,19.4953,45792.99,3588.84,112.21,1666.34
12/10/2022,71,6.85,36.67,126.18,21.51,14.96,19.993,0.9703,19.3975,45679.84,3577.03,112.9,1673.19
13/10/2022,70.72,6.75,37.47,126.16,21.48,14.95,19.9894,0.9776,19.5411,45766.94,3669.91,112.53,1666.37
14/10/2022,70.07,6.52,37.86,125.67,20.44,14.58,20.0813,0.9722,19.5226,45443.35,3583.07,106.9,1644.47
17/10/2022,73.18,6.91,37.72,126.12,21.32,15.38,19.9947,0.9841,19.6774,46220.72,3677.95,113.79,1650.09
18/10/2022,71.74,6.99,37.31,127.63,21.18,15.92,20.0289,0.9858,19.7391,46309.23,3719.98,116.36,1652.22
19/10/2022,70.14,6.8,37.22,130.17,20.78,15.93,20.1093,0.9773,19.6563,46217.44,3695.16,115.07,1629.44
20/10/2022,70.72,6.79,37.09,129.01,21.21,15.73,20.0395,0.9786,19.6094,46315.41,3665.78,115.25,1628.02
21/10/2022,72.14,7.01,37.43,132.03,21.14,16.76,19.9324,0.9862,19.6637,47120.08,3752.75,119.32,1657.69
24/10/2022,73.13,7.06,38.51,136.65,20.81,17.38,19.9379,0.9874,19.6863,47765.24,3797.34,119.82,1649.78
25/10/2022,75.16,7.29,38.96,139.37,20.9,16.6,19.8796,0.9966,19.813,48641.27,3859.11,120.6,1653.17
26/10/2022,74.72,7.43,40.07,139.54,20.84,16.46,19.9404,1.0081,20.1012,49327.11,3830.6,115.66,1664.57
27/10/2022,74.51,7.03,40.06,137.03,20.27,16.29,19.8331,0.9964,19.7627,48892.56,3807.3,110.96,1663.31
